Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
marbofloxacin,C080260,,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
N'-(2-phenylallyl)hydrazine,C506836,,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
N-Acetylcysteinamide,C487056,10061-64-0,Alzheimer Disease,MESH:D000544,,VEGFA,3.45,1
Pentanoic Acids,D010421,,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
Ro 31-8425,C071924,131848-97-0,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
septilin,C047352,,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
sodium molybdate(VI),C024687,7631-95-0,Alzheimer Disease,MESH:D000544,,VEGFA,3.45,1
Tocotrienols,D024508,,Alzheimer Disease,MESH:D000544,,ACHE,3.45,2
virodhamine,C456739,,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
you-gui-wan,C502768,,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
zinc nitrate,C042103,7779-88-6,Alzheimer Disease,MESH:D000544,,TNF,3.45,1
Hydrogen Peroxide,D006861,7722-84-1,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,3.45,1
Hydrogen Peroxide,D006861,7722-84-1,Alzheimer disease type 2,MESH:C536595,,APOE,3.45,1
Hydrogen Peroxide,D006861,7722-84-1,Alzheimer disease type 4,MESH:C536596,,APOE,3.45,1
diethyl phosphate,C034789,598-02-7,Alzheimer Disease,MESH:D000544,,LEP,3.44,1
O-(Chloroacetylcarbamoyl)fumagillol,D000077609,,Alzheimer Disease,MESH:D000544,,SOD2,3.44,1
sulprostone,C016767,,Alzheimer Disease,MESH:D000544,,NOS3,3.44,2
Silicon Dioxide,D012822,7631-86-9,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,PSEN1,3.44,1
alternaramide,C545596,,Alzheimer Disease,MESH:D000544,,IL1B,3.43,1
Aminopropionitrile,D000629,151-18-8,Alzheimer Disease,MESH:D000544,,BCL2,3.43,1
Cardiotoxins,D054715,,Alzheimer Disease,MESH:D000544,,BCL2,3.43,1
"ethyl 5-(4,6-dimethoxypyrimidin-2-ylcarbamoylsulfamoyl)-1-methylpyrazole-4-carboxylate",C433343,,Alzheimer Disease,MESH:D000544,,IL1B,3.43,1
fumagillin,C026211,23110-15-8,Alzheimer Disease,MESH:D000544,,BCL2,3.43,1
indole-5-carboxamide,C514526,,Alzheimer Disease,MESH:D000544,,IL1B,3.43,1
"isoniazid, pyrazinamide, rifampin drug combination",C087181,,Alzheimer Disease,MESH:D000544,,MPO,3.43,2
Loxapine,D008152,1977-10-2,Alzheimer Disease,MESH:D000544,,CYP2D6,3.43,1
Phenolphthalein,D020113,,Alzheimer Disease,MESH:D000544,,ESR1,3.43,1
picrotoxinin,C022961,17617-45-7,Alzheimer Disease,MESH:D000544,,ESR1,3.43,1
tabersonine,C009373,4429-63-4,Alzheimer Disease,MESH:D000544,,IL1B,3.43,1
decamethrin,C017180,52820-00-5,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,PSEN1,3.43,1
Quercetin,D011794,117-39-5,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,3.43,1
Nickel,D009532,7440-02-0,Alzheimer disease type 2,MESH:C536595,,APOE,3.43,1
Quercetin,D011794,117-39-5,Alzheimer disease type 2,MESH:C536595,,APOE,3.43,1
Nickel,D009532,7440-02-0,Alzheimer disease type 4,MESH:C536596,,APOE,3.43,1
"6,7-dimethoxy-3-phenylquinoxaline",C106250,146535-11-7,Alzheimer Disease,MESH:D000544,,HMOX1,3.42,1
alclometasone dipropionate,C021137,,Alzheimer Disease,MESH:D000544,,VEGFA,3.42,1
Bromates,D001959,,Alzheimer Disease,MESH:D000544,,HMOX1,3.42,1
Glutethimide,D005984,77-21-4,Alzheimer Disease,MESH:D000544,,HMOX1,3.42,1
oleoresins,C018620,,Alzheimer Disease,MESH:D000544,,CST3,3.42,2
"plant extract, Puerariae Radix",C442842,,Alzheimer Disease,MESH:D000544,,HMOX1,3.42,1
tetraethylenepentamine,C034269,112-57-2,Alzheimer Disease,MESH:D000544,,VEGFA,3.42,1
Arsenic Trioxide,D000077237,1327-53-3,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,3.42,1
Atrazine,D001280,1912-24-9,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,PSEN1,3.42,1
Arsenic Trioxide,D000077237,1327-53-3,Alzheimer disease type 2,MESH:C536595,,APOE,3.42,1
Arsenic Trioxide,D000077237,1327-53-3,Alzheimer disease type 4,MESH:C536596,,APOE,3.42,1
