drug_name,protein_target,inference_score
Cannabidiol,PSEN1,29.95
Cannabidiol,PSEN2,29.95
Cannabidiol,SOD2,29.95
Cannabidiol,TNF,29.95
Cannabidiol,VEGFA,29.95
Cannabidiol,VSNL1,29.95
Cannabidiol,WWOX,29.95
Tolonium Chloride,ACHE,29.85
Tolonium Chloride,APP,29.85
Tolonium Chloride,BACE1,29.85
Tolonium Chloride,GSK3B,29.85
Tolonium Chloride,MAPT,29.85
Tolonium Chloride,PSEN1,29.85
"6,7-Dihydroxyflavone",APP,27.73
"6,7-Dihydroxyflavone",BACE1,27.73
"6,7-Dihydroxyflavone",BAX,27.73
"6,7-Dihydroxyflavone",BCL2,27.73
"6,7-Dihydroxyflavone",BDNF,27.73
"6,7-Dihydroxyflavone",CASP3,27.73
"6,7-Dihydroxyflavone",HMOX1,27.73
Galantamine,ACHE,27.33
Galantamine,APP,27.33
Galantamine,BAX,27.33
Galantamine,BCHE,27.33
Galantamine,BCL2,27.33
Galantamine,CASP3,27.33
Galantamine,CHRNA7,27.33
Galantamine,CHRNB2,27.33
Icariin,APP,26.22
Icariin,BACE1,26.22
Icariin,BAX,26.22
Icariin,BCL2,26.22
Icariin,CASP3,26.22
Icariin,IGF1,26.22
Icariin,IL1B,26.22
Icariin,NOS3,26.22
Icariin,PPARG,26.22
Icariin,SOD2,26.22
Icariin,TNF,26.22
Icariin,VEGFA,26.22
Huperzine A,ACHE,26.12
Huperzine A,APP,26.12
Huperzine A,BAX,26.12
Huperzine A,BCL2,26.12
Huperzine A,CASP3,26.12
Huperzine A,IL1B,26.12
Huperzine A,TNF,26.12
Ibuprofen,ACHE,25.96
Ibuprofen,APP,25.96
Ibuprofen,BACE1,25.96
Ibuprofen,CASP3,25.96
Ibuprofen,CLU,25.96
Ibuprofen,ENO1,25.96
Ibuprofen,ESR1,25.96
Ibuprofen,IGF1,25.96
Ibuprofen,IGF2R,25.96
Ibuprofen,IL1B,25.96
Ibuprofen,MPO,25.96
Ibuprofen,NOS3,25.96
Ibuprofen,PLAU,25.96
Ibuprofen,PPARG,25.96
Ibuprofen,PYY,25.96
Ibuprofen,SOD2,25.96
Ibuprofen,TNF,25.96
Ibuprofen,TPI1,25.96
